Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Federal Republic of Somalia,SOM,2022,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,65
Federal Republic of Somalia,SOM,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,23.7900009155273
Federal Republic of Somalia,SOM,1972,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,10.460000038147
Federal Republic of Somalia,SOM,2022,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
Federal Republic of Somalia,SOM,1972,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.658689975738525
Federal Republic of Somalia,SOM,2022,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,76
Federal Republic of Somalia,SOM,1972,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,15.8800001144409
Federal Republic of Somalia,SOM,2022,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,44
Federal Republic of Somalia,SOM,1972,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,3.68717002868652
Federal Republic of Somalia,SOM,2022,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,65
Federal Republic of Somalia,SOM,1972,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,7.19844007492065
Federal Republic of Somalia,SOM,2007,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.553160011768341
Federal Republic of Somalia,SOM,1986,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.500599980354309
Federal Republic of Somalia,SOM,1985,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.522189974784851
Federal Republic of Somalia,SOM,1984,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.541440010070801
Federal Republic of Somalia,SOM,1983,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.530780017375946
Federal Republic of Somalia,SOM,1982,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.543669998645782
Federal Republic of Somalia,SOM,1981,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.557020008563995
Federal Republic of Somalia,SOM,1980,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.576950013637543
Federal Republic of Somalia,SOM,1979,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.567460000514984
Federal Republic of Somalia,SOM,1978,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.572369992733002
Federal Republic of Somalia,SOM,1977,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.546649992465973
Federal Republic of Somalia,SOM,1976,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.545799970626831
Federal Republic of Somalia,SOM,1974,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.402579993009567
