Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
SOM,2023,SG.LAW.INDX,46.875
SOM,2022,SG.LAW.INDX,46.875
SOM,2021,SG.LAW.INDX,46.875
SOM,2020,SG.LAW.INDX,46.875
SOM,2019,SG.LAW.INDX,46.875
SOM,2018,SG.LAW.INDX,46.875
SOM,2017,SG.LAW.INDX,46.875
SOM,2016,SG.LAW.INDX,46.875
SOM,2015,SG.LAW.INDX,46.875
SOM,2014,SG.LAW.INDX,46.875
SOM,2013,SG.LAW.INDX,46.875
SOM,2012,SG.LAW.INDX,46.875
SOM,2011,SG.LAW.INDX,46.875
SOM,2010,SG.LAW.INDX,46.875
SOM,2009,SG.LAW.INDX,46.875
SOM,2008,SG.LAW.INDX,46.875
SOM,2007,SG.LAW.INDX,46.875
SOM,2006,SG.LAW.INDX,46.875
SOM,2005,SG.LAW.INDX,46.875
SOM,2004,SG.LAW.INDX,46.875
SOM,2003,SG.LAW.INDX,46.875
SOM,2002,SG.LAW.INDX,46.875
SOM,2001,SG.LAW.INDX,46.875
SOM,2000,SG.LAW.INDX,46.875
SOM,1999,SG.LAW.INDX,46.875
SOM,1998,SG.LAW.INDX,46.875
SOM,1997,SG.LAW.INDX,46.875
SOM,1996,SG.LAW.INDX,46.875
SOM,1995,SG.LAW.INDX,46.875
SOM,1994,SG.LAW.INDX,46.875
SOM,1993,SG.LAW.INDX,46.875
SOM,1992,SG.LAW.INDX,46.875
SOM,1991,SG.LAW.INDX,46.875
SOM,1990,SG.LAW.INDX,46.875
SOM,1989,SG.LAW.INDX,46.875
SOM,1988,SG.LAW.INDX,46.875
SOM,1987,SG.LAW.INDX,46.875
SOM,1986,SG.LAW.INDX,46.875
SOM,1985,SG.LAW.INDX,46.875
SOM,1984,SG.LAW.INDX,46.875
SOM,1983,SG.LAW.INDX,46.875
SOM,1982,SG.LAW.INDX,46.875
SOM,1981,SG.LAW.INDX,46.875
SOM,1980,SG.LAW.INDX,46.875
SOM,1979,SG.LAW.INDX,46.875
SOM,1978,SG.LAW.INDX,46.875
