Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
VNM,2022,SG.LAW.INDX,88.125
VNM,2021,SG.LAW.INDX,88.125
VNM,2020,SG.LAW.INDX,85
VNM,2019,SG.LAW.INDX,81.875
VNM,2018,SG.LAW.INDX,81.875
VNM,2017,SG.LAW.INDX,81.875
VNM,2016,SG.LAW.INDX,81.875
VNM,2015,SG.LAW.INDX,76.25
VNM,2014,SG.LAW.INDX,76.25
VNM,2013,SG.LAW.INDX,76.25
VNM,2012,SG.LAW.INDX,70
VNM,2011,SG.LAW.INDX,70
VNM,2010,SG.LAW.INDX,70
VNM,2009,SG.LAW.INDX,70
VNM,2008,SG.LAW.INDX,70
VNM,2007,SG.LAW.INDX,67.5
VNM,2006,SG.LAW.INDX,64.375
VNM,2005,SG.LAW.INDX,64.375
VNM,2004,SG.LAW.INDX,64.375
VNM,2003,SG.LAW.INDX,64.375
VNM,2002,SG.LAW.INDX,64.375
VNM,2001,SG.LAW.INDX,64.375
VNM,2000,SG.LAW.INDX,64.375
VNM,1999,SG.LAW.INDX,64.375
VNM,1998,SG.LAW.INDX,64.375
VNM,1997,SG.LAW.INDX,64.375
VNM,1996,SG.LAW.INDX,64.375
VNM,1995,SG.LAW.INDX,64.375
VNM,1994,SG.LAW.INDX,56.875
VNM,1993,SG.LAW.INDX,53.75
VNM,1992,SG.LAW.INDX,53.75
VNM,1991,SG.LAW.INDX,53.75
VNM,1990,SG.LAW.INDX,53.75
VNM,1989,SG.LAW.INDX,53.75
VNM,1988,SG.LAW.INDX,53.75
VNM,1987,SG.LAW.INDX,53.75
VNM,1986,SG.LAW.INDX,53.75
VNM,1985,SG.LAW.INDX,53.75
VNM,1984,SG.LAW.INDX,53.75
VNM,1983,SG.LAW.INDX,53.75
VNM,1982,SG.LAW.INDX,53.75
VNM,1981,SG.LAW.INDX,53.75
VNM,1980,SG.LAW.INDX,53.75
VNM,1979,SG.LAW.INDX,53.75
VNM,1978,SG.LAW.INDX,53.75
VNM,1977,SG.LAW.INDX,53.75
VNM,1976,SG.LAW.INDX,53.75
VNM,1975,SG.LAW.INDX,53.75
VNM,1974,SG.LAW.INDX,53.75
VNM,1973,SG.LAW.INDX,53.75
VNM,1972,SG.LAW.INDX,53.75
VNM,1971,SG.LAW.INDX,53.75
VNM,1970,SG.LAW.INDX,53.75
VNM,2020,SH.MMR.RISK,390
VNM,2019,SH.MMR.RISK,360
VNM,2018,SH.MMR.RISK,370
VNM,2017,SH.MMR.RISK,390
VNM,2016,SH.MMR.RISK,420
VNM,2015,SH.MMR.RISK,440
VNM,2014,SH.MMR.RISK,470
VNM,2013,SH.MMR.RISK,490
VNM,2012,SH.MMR.RISK,510
VNM,2011,SH.MMR.RISK,540
VNM,2010,SH.MMR.RISK,550
VNM,2009,SH.MMR.RISK,570
VNM,2008,SH.MMR.RISK,600
VNM,2007,SH.MMR.RISK,610
VNM,2006,SH.MMR.RISK,610
VNM,2005,SH.MMR.RISK,620
VNM,2004,SH.MMR.RISK,620
VNM,2003,SH.MMR.RISK,600
VNM,2002,SH.MMR.RISK,590
VNM,2001,SH.MMR.RISK,580
VNM,2000,SH.MMR.RISK,430
VNM,2020,SH.STA.MMRT,124
VNM,2019,SH.STA.MMRT,134
VNM,2018,SH.STA.MMRT,130
VNM,2017,SH.STA.MMRT,124
VNM,2016,SH.STA.MMRT,116
VNM,2015,SH.STA.MMRT,109
VNM,2014,SH.STA.MMRT,103
VNM,2013,SH.STA.MMRT,98
VNM,2012,SH.STA.MMRT,94
VNM,2011,SH.STA.MMRT,90
VNM,2010,SH.STA.MMRT,88
VNM,2009,SH.STA.MMRT,84
VNM,2008,SH.STA.MMRT,81
VNM,2007,SH.STA.MMRT,80
VNM,2006,SH.STA.MMRT,80
VNM,2005,SH.STA.MMRT,78
VNM,2004,SH.STA.MMRT,78
VNM,2003,SH.STA.MMRT,80
VNM,2002,SH.STA.MMRT,82
VNM,2001,SH.STA.MMRT,84
VNM,2000,SH.STA.MMRT,97
