Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
CZE,2021,SG.LAW.INDX,93.75
CZE,2020,SG.LAW.INDX,93.75
CZE,2019,SG.LAW.INDX,93.75
CZE,2018,SG.LAW.INDX,93.75
CZE,2017,SG.LAW.INDX,91.25
CZE,2016,SG.LAW.INDX,91.25
CZE,2015,SG.LAW.INDX,91.25
CZE,2014,SG.LAW.INDX,91.25
CZE,2013,SG.LAW.INDX,91.25
CZE,2012,SG.LAW.INDX,91.25
CZE,2011,SG.LAW.INDX,88.125
CZE,2010,SG.LAW.INDX,88.125
CZE,2009,SG.LAW.INDX,88.125
CZE,2008,SG.LAW.INDX,88.125
CZE,2007,SG.LAW.INDX,81.875
CZE,2006,SG.LAW.INDX,81.875
CZE,2005,SG.LAW.INDX,73.125
CZE,2004,SG.LAW.INDX,73.125
CZE,2003,SG.LAW.INDX,73.125
CZE,2002,SG.LAW.INDX,73.125
CZE,2001,SG.LAW.INDX,73.125
CZE,2000,SG.LAW.INDX,73.125
CZE,1999,SG.LAW.INDX,73.125
CZE,1998,SG.LAW.INDX,73.125
CZE,1997,SG.LAW.INDX,73.125
CZE,1996,SG.LAW.INDX,73.125
CZE,1995,SG.LAW.INDX,73.125
CZE,1994,SG.LAW.INDX,70
CZE,1993,SG.LAW.INDX,70
CZE,1992,SG.LAW.INDX,70
CZE,1991,SG.LAW.INDX,70
CZE,1990,SG.LAW.INDX,67.5
CZE,1989,SG.LAW.INDX,67.5
CZE,1988,SG.LAW.INDX,67.5
CZE,1987,SG.LAW.INDX,67.5
CZE,1986,SG.LAW.INDX,67.5
CZE,1985,SG.LAW.INDX,67.5
CZE,1984,SG.LAW.INDX,67.5
CZE,1983,SG.LAW.INDX,67.5
CZE,1982,SG.LAW.INDX,67.5
CZE,1981,SG.LAW.INDX,67.5
CZE,1980,SG.LAW.INDX,67.5
CZE,1979,SG.LAW.INDX,64.375
CZE,1978,SG.LAW.INDX,64.375
CZE,1977,SG.LAW.INDX,64.375
CZE,1976,SG.LAW.INDX,64.375
CZE,1975,SG.LAW.INDX,64.375
CZE,1974,SG.LAW.INDX,64.375
CZE,1973,SG.LAW.INDX,64.375
CZE,1972,SG.LAW.INDX,64.375
CZE,1971,SG.LAW.INDX,64.375
CZE,1970,SG.LAW.INDX,64.375
CZE,2017,SH.MMR.RISK,17900
CZE,2016,SH.MMR.RISK,16600
CZE,2015,SH.MMR.RISK,17400
CZE,2014,SH.MMR.RISK,17300
CZE,2013,SH.MMR.RISK,16700
CZE,2012,SH.MMR.RISK,15900
CZE,2011,SH.MMR.RISK,15400
CZE,2010,SH.MMR.RISK,15500
CZE,2009,SH.MMR.RISK,14500
CZE,2008,SH.MMR.RISK,14500
CZE,2007,SH.MMR.RISK,14500
CZE,2006,SH.MMR.RISK,13700
CZE,2005,SH.MMR.RISK,13000
CZE,2004,SH.MMR.RISK,13400
CZE,2003,SH.MMR.RISK,13000
CZE,2002,SH.MMR.RISK,13200
CZE,2001,SH.MMR.RISK,12700
CZE,2000,SH.MMR.RISK,12500
CZE,2017,SH.STA.MMRT,3
CZE,2016,SH.STA.MMRT,4
CZE,2015,SH.STA.MMRT,4
CZE,2014,SH.STA.MMRT,4
CZE,2013,SH.STA.MMRT,4
CZE,2012,SH.STA.MMRT,4
CZE,2011,SH.STA.MMRT,4
CZE,2010,SH.STA.MMRT,4
CZE,2009,SH.STA.MMRT,4
CZE,2008,SH.STA.MMRT,5
CZE,2007,SH.STA.MMRT,5
CZE,2006,SH.STA.MMRT,5
CZE,2005,SH.STA.MMRT,5
CZE,2004,SH.STA.MMRT,5
CZE,2003,SH.STA.MMRT,6
CZE,2002,SH.STA.MMRT,6
CZE,2001,SH.STA.MMRT,7
CZE,2000,SH.STA.MMRT,7
