Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
PRI,2023,SG.LAW.INDX,83.75
PRI,2022,SG.LAW.INDX,83.75
PRI,2021,SG.LAW.INDX,83.75
PRI,2020,SG.LAW.INDX,83.75
PRI,2019,SG.LAW.INDX,81.25
PRI,2018,SG.LAW.INDX,81.25
PRI,2017,SG.LAW.INDX,81.25
PRI,2016,SG.LAW.INDX,81.25
PRI,2015,SG.LAW.INDX,81.25
PRI,2014,SG.LAW.INDX,81.25
PRI,2013,SG.LAW.INDX,81.25
PRI,2012,SG.LAW.INDX,81.25
PRI,2011,SG.LAW.INDX,81.25
PRI,2010,SG.LAW.INDX,81.25
PRI,2009,SG.LAW.INDX,81.25
PRI,2008,SG.LAW.INDX,81.25
PRI,2007,SG.LAW.INDX,81.25
PRI,2006,SG.LAW.INDX,81.25
PRI,2005,SG.LAW.INDX,81.25
PRI,2004,SG.LAW.INDX,81.25
PRI,2003,SG.LAW.INDX,81.25
PRI,2002,SG.LAW.INDX,81.25
PRI,2001,SG.LAW.INDX,81.25
PRI,2000,SG.LAW.INDX,81.25
PRI,1999,SG.LAW.INDX,81.25
PRI,1998,SG.LAW.INDX,81.25
PRI,1997,SG.LAW.INDX,81.25
PRI,1996,SG.LAW.INDX,81.25
PRI,1995,SG.LAW.INDX,81.25
PRI,1994,SG.LAW.INDX,81.25
PRI,1993,SG.LAW.INDX,81.25
PRI,1992,SG.LAW.INDX,81.25
PRI,1991,SG.LAW.INDX,81.25
PRI,1990,SG.LAW.INDX,81.25
PRI,1989,SG.LAW.INDX,78.75
PRI,1988,SG.LAW.INDX,78.75
PRI,1987,SG.LAW.INDX,72.5
PRI,1986,SG.LAW.INDX,72.5
PRI,1985,SG.LAW.INDX,72.5
PRI,1984,SG.LAW.INDX,72.5
PRI,1983,SG.LAW.INDX,72.5
PRI,1982,SG.LAW.INDX,72.5
PRI,1981,SG.LAW.INDX,72.5
PRI,1980,SG.LAW.INDX,72.5
PRI,1979,SG.LAW.INDX,72.5
PRI,1978,SG.LAW.INDX,72.5
PRI,1977,SG.LAW.INDX,72.5
PRI,1976,SG.LAW.INDX,61.875
PRI,1975,SG.LAW.INDX,61.875
PRI,1974,SG.LAW.INDX,58.75
PRI,1973,SG.LAW.INDX,58.75
PRI,1972,SG.LAW.INDX,58.75
PRI,1971,SG.LAW.INDX,58.75
PRI,1970,SG.LAW.INDX,58.75
PRI,2023,SH.MMR.RISK,11432
PRI,2022,SH.MMR.RISK,2318
PRI,2021,SH.MMR.RISK,2563
PRI,2020,SH.MMR.RISK,12352
PRI,2019,SH.MMR.RISK,9604
PRI,2018,SH.MMR.RISK,8662
PRI,2017,SH.MMR.RISK,6177
PRI,2016,SH.MMR.RISK,6059
PRI,2015,SH.MMR.RISK,5714
PRI,2014,SH.MMR.RISK,5068
PRI,2013,SH.MMR.RISK,4948
PRI,2012,SH.MMR.RISK,4415
PRI,2011,SH.MMR.RISK,4150
PRI,2010,SH.MMR.RISK,4015
PRI,2009,SH.MMR.RISK,4070
PRI,2008,SH.MMR.RISK,3868
PRI,2007,SH.MMR.RISK,3544
PRI,2006,SH.MMR.RISK,3342
PRI,2005,SH.MMR.RISK,3015
PRI,2004,SH.MMR.RISK,3046
PRI,2003,SH.MMR.RISK,3134
PRI,2002,SH.MMR.RISK,3052
PRI,2001,SH.MMR.RISK,2718
PRI,2000,SH.MMR.RISK,2462
PRI,1999,SH.MMR.RISK,2440
PRI,1998,SH.MMR.RISK,2319
PRI,1997,SH.MMR.RISK,2141
PRI,1996,SH.MMR.RISK,2053
PRI,1995,SH.MMR.RISK,2005
PRI,1994,SH.MMR.RISK,1924
PRI,1993,SH.MMR.RISK,1833
PRI,1992,SH.MMR.RISK,1773
PRI,1991,SH.MMR.RISK,1759
PRI,1990,SH.MMR.RISK,1414
PRI,1989,SH.MMR.RISK,1308
PRI,1988,SH.MMR.RISK,1507
PRI,1987,SH.MMR.RISK,1541
PRI,1986,SH.MMR.RISK,1479
PRI,1985,SH.MMR.RISK,1386
PRI,2023,SH.STA.MMRT,11
PRI,2022,SH.STA.MMRT,55
PRI,2021,SH.STA.MMRT,50
PRI,2020,SH.STA.MMRT,11
PRI,2019,SH.STA.MMRT,13
PRI,2018,SH.STA.MMRT,14
PRI,2017,SH.STA.MMRT,17
PRI,2016,SH.STA.MMRT,15
PRI,2015,SH.STA.MMRT,15
PRI,2014,SH.STA.MMRT,16
PRI,2013,SH.STA.MMRT,16
PRI,2012,SH.STA.MMRT,17
PRI,2011,SH.STA.MMRT,17
PRI,2010,SH.STA.MMRT,18
PRI,2009,SH.STA.MMRT,18
PRI,2008,SH.STA.MMRT,18
PRI,2007,SH.STA.MMRT,18
PRI,2006,SH.STA.MMRT,19
PRI,2005,SH.STA.MMRT,20
PRI,2004,SH.STA.MMRT,20
PRI,2003,SH.STA.MMRT,20
PRI,2002,SH.STA.MMRT,19
PRI,2001,SH.STA.MMRT,21
PRI,2000,SH.STA.MMRT,22
PRI,1999,SH.STA.MMRT,22
PRI,1998,SH.STA.MMRT,22
PRI,1997,SH.STA.MMRT,23
PRI,1996,SH.STA.MMRT,24
PRI,1995,SH.STA.MMRT,25
PRI,1994,SH.STA.MMRT,25
PRI,1993,SH.STA.MMRT,26
