Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Czech Republic,CZE,2019,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,16.1
Czech Republic,CZE,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,11.3
Czech Republic,CZE,2009,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,18.4
Czech Republic,CZE,2019,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,29.9
Czech Republic,CZE,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,30.4
Czech Republic,CZE,2009,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,25
Czech Republic,CZE,2005,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,17.8
Czech Republic,CZE,2019,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00461995601654
Czech Republic,CZE,2018,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00601994991302
Czech Republic,CZE,2017,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00559997558594
Czech Republic,CZE,2016,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00551998615265
Czech Republic,CZE,2015,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.0035799741745
Czech Republic,CZE,2014,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.0001699924469
Czech Republic,CZE,2013,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00066995620728
Czech Republic,CZE,2012,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.999080002307892
Czech Republic,CZE,2011,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.994490027427673
Czech Republic,CZE,2010,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.995999991893768
Czech Republic,CZE,2009,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99550998210907
Czech Republic,CZE,2008,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99278998374939
Czech Republic,CZE,2007,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.992519974708557
Czech Republic,CZE,2006,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.992070019245148
Czech Republic,CZE,2005,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.985809981822968
Czech Republic,CZE,2004,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.986199975013733
Czech Republic,CZE,2003,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.984189987182617
Czech Republic,CZE,2002,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.987299978733063
Czech Republic,CZE,2001,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.990970015525818
Czech Republic,CZE,2000,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.995630025863647
Czech Republic,CZE,1999,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.993179976940155
Czech Republic,CZE,1998,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.998120009899139
Czech Republic,CZE,1997,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.999620020389557
Czech Republic,CZE,1996,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.992150008678436
Czech Republic,CZE,1995,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.998969972133636
Czech Republic,CZE,1994,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00281000137329
Czech Republic,CZE,1993,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01095998287201
Czech Republic,CZE,1992,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.16701996326447
Czech Republic,CZE,1991,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00603997707367
Czech Republic,CZE,1990,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00349998474121
Czech Republic,CZE,1989,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00484001636505
Czech Republic,CZE,1988,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.970340013504028
Czech Republic,CZE,1987,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.970359981060028
Czech Republic,CZE,1986,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.970130026340485
Czech Republic,CZE,1985,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.970080018043518
Czech Republic,CZE,1984,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.969900012016296
Czech Republic,CZE,1983,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00929999351501
Czech Republic,CZE,1982,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00916004180908
Czech Republic,CZE,1981,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00907003879547
