location_id,address,province_name,town_name,location_type,record_id,source_id,time_of_record,visit_count,time_in_queue,assigned_employee_id,date,description,pollutant_ppm,biological,results,type_of_water_source,number_of_people_served,hour_of_day,day_of_week,percent_male,percent_female,percent_child
AkHa00000,2 Addis Ababa Road,Akatsi,Harare,Urban,21896,AkHa00000224,2021/11/30 11:20,1,0,28,,,,,,tap_in_home,956,11,Tuesday,4.78,87.50,7.72
AkHa00001,10 Addis Ababa Road,Akatsi,Harare,Urban,9514,AkHa00001224,2021/05/27 13:26,1,0,1,,,,,,tap_in_home_broken,930,13,Thursday,10.94,67.97,21.09
AkHa00002,9 Addis Ababa Road,Akatsi,Harare,Urban,54843,AkHa00002224,2023/04/18 13:44,1,0,5,,,,,,tap_in_home_broken,486,13,Tuesday,10.00,75.38,14.62
AkHa00003,139 Addis Ababa Road,Akatsi,Harare,Urban,2550,AkHa00003224,2021/02/10 14:34,1,0,42,2021/02/13 14:34,Clean,0.0852059,9.42841e-05,Clean,well,364,14,Wednesday,7.10,84.15,8.74
AkHa00004,17 Addis Ababa Road,Akatsi,Harare,Urban,31721,AkHa00004224,2022/04/29 09:46,1,0,46,,,,,,tap_in_home_broken,942,9,Friday,5.79,72.73,21.49
AkHa00005,125 Addis Ababa Road,Akatsi,Harare,Urban,21704,AkHa00005224,2021/11/26 11:18,1,0,2,,,,,,tap_in_home,736,11,Friday,6.33,76.58,17.09
AkHa00006,98 Addis Ababa Road,Akatsi,Harare,Urban,25553,AkHa00006224,2022/01/25 11:35,1,0,24,,,,,,tap_in_home,882,11,Tuesday,4.85,83.98,11.17
AkHa00007,21 Addis Ababa Road,Akatsi,Harare,Urban,22378,AkHa00007224,2021/12/07 13:31,1,0,48,,,,,,tap_in_home,554,13,Tuesday,7.69,81.20,11.11
AkHa00008,11 Addis Ababa Road,Akatsi,Harare,Urban,57788,AkHa00008224,2023/06/02 12:54,1,0,7,2023/06/05 12:54,Clean,0.0807532,3.24062e-05,Clean,well,398,12,Friday,7.25,86.47,6.28
AkHa00009,6 Addis Ababa Road,Akatsi,Harare,Urban,51643,AkHa00009224,2023/03/01 16:25,1,0,14,2023/03/04 16:25,Bacteria: E. coli,0,45.6094,Contaminated: Biological,well,346,16,Wednesday,10.14,48.65,41.22
AkHa00010,28 Addis Ababa Road,Akatsi,Harare,Urban,10392,AkHa00010224,2021/06/09 09:37,1,0,10,2021/06/12 09:37,"Inorganic contaminants: Lead, Barium, Arsenic, Selenium",5.95437,0,Contaminated: Chemical,well,236,9,Wednesday,4.28,84.49,11.23
AkHa00011,32 Addis Ababa Road,Akatsi,Harare,Urban,52987,AkHa00011224,2023/03/22 09:54,1,0,30,2023/03/25 09:54,"Inorganic contaminants: Zinc, Mercury, Arsenic",2.01157,0,Contaminated: Chemical,well,168,9,Wednesday,4.27,88.41,7.32
AkHa00012,52 Addis Ababa Road,Akatsi,Harare,Urban,36385,AkHa00012224,2022/07/06 14:12,1,0,38,2022/07/09 14:12,Clean,0.0788178,7.74155e-05,Clean,well,192,14,Wednesday,9.82,75.00,15.18
AkHa00013,81 Addis Ababa Road,Akatsi,Harare,Urban,45032,AkHa00013224,2022/11/15 16:12,1,26,7,,,,,,shared_tap,2212,16,Tuesday,5.09,81.02,13.89
AkHa00014,142 Addis Ababa Road,Akatsi,Harare,Urban,20135,AkHa00014224,2021/11/03 12:17,1,0,36,,,,,,tap_in_home_broken,574,12,Wednesday,3.17,85.52,11.31
AkHa00015,22 Addis Ababa Road,Akatsi,Harare,Urban,4308,AkHa00015224,2021/03/09 13:02,1,0,30,,,,,,tap_in_home,862,13,Tuesday,5.78,85.78,8.44
AkHa00016,55 Addis Ababa Road,Akatsi,Harare,Urban,28514,AkHa00016224,2022/03/11 16:00,1,0,34,2022/03/14 16:00,Clean,0.0327072,9.66497e-06,Clean,well,278,16,Friday,6.07,69.23,24.70
AkHa00017,60 Addis Ababa Road,Akatsi,Harare,Urban,46374,AkHa00017224,2022/12/06 12:08,1,0,5,,,,,,tap_in_home_broken,414,12,Tuesday,7.19,81.29,11.51
AkHa00018,120 Addis Ababa Road,Akatsi,Harare,Urban,19644,AkHa00018224,2021/10/27 12:38,1,0,34,2021/10/30 12:38,"Inorganic contaminants: Chromium, Copper",8.43337,0,Contaminated: Chemical,well,390,12,Wednesday,2.62,89.01,8.38
AkHa00019,150 Addis Ababa Road,Akatsi,Harare,Urban,40067,AkHa00019224,2022/08/31 14:10,1,0,34,,,,,,tap_in_home_broken,320,14,Wednesday,5.65,82.26,12.10
AkHa00020,16 Addis Ababa Road,Akatsi,Harare,Urban,26565,AkHa00020224,2022/02/09 15:18,1,0,3,2022/02/12 15:18,"Inorganic contaminants: Selenium, Chromium, Copper, Selenium",2.81182,0,Contaminated: Chemical,well,234,15,Wednesday,5.80,85.71,8.48
AkHa00021,57 Addis Ababa Road,Akatsi,Harare,Urban,13404,AkHa00021224,2021/07/23 11:02,1,0,3,,,,,,tap_in_home_broken,330,11,Friday,7.63,73.28,19.08
AkHa00022,132 Addis Ababa Road,Akatsi,Harare,Urban,13171,AkHa00022224,2021/07/20 11:05,1,0,10,2021/07/23 11:05,Clean,0.0463803,4.22417e-06,Clean,well,304,11,Tuesday,3.95,90.79,5.26
AkHa00023,147 Addis Ababa Road,Akatsi,Harare,Urban,6093,AkHa00023224,2021/04/06 14:55,1,0,1,,,,,,tap_in_home_broken,954,14,Tuesday,6.67,86.22,7.11
AkHa00024,116 Addis Ababa Road,Akatsi,Harare,Urban,36271,AkHa00024224,2022/07/05 13:02,1,0,3,2022/07/08 13:02,Bacteria: Salmonella,0,267.371,Contaminated: Biological,well,292,13,Tuesday,4.67,81.31,14.02
AkHa00025,76 Addis Ababa Road,Akatsi,Harare,Urban,53449,AkHa00025224,2023/03/28 11:10,1,0,30,,,,,,tap_in_home,354,11,Tuesday,3.94,86.02,10.04
